country,food_category,consumption,co2_emmission,lat,lng
Brazil,Poultry,45,48.34,-14.235004,-51.92528
Brazil,Beef,39.25,1211.17,-14.235004,-51.92528
Brazil,Lamb & Goat,0.62,21.71,-14.235004,-51.92528
Brazil,Fish,10.01,15.98,-14.235004,-51.92528
Brazil,Eggs,8.98,8.25,-14.235004,-51.92528
Brazil,Milk - inc. cheese,149.28,212.63,-14.235004,-51.92528
Brazil,Wheat and Wheat Products,53,10.11,-14.235004,-51.92528
Brazil,Rice,32.13,41.12,-14.235004,-51.92528
Brazil,Soybeans,3.62,1.63,-14.235004,-51.92528
Brazil,Nuts inc. Peanut Butter,0.67,1.19,-14.235004,-51.92528
Kazakhstan,Pork,10.36,36.67,48.019573,66.923684
Kazakhstan,Poultry,18.38,19.74,48.019573,66.923684
Kazakhstan,Beef,23.38,721.46,48.019573,66.923684
Kazakhstan,Lamb & Goat,9.56,334.79,48.019573,66.923684
Kazakhstan,Fish,5.21,8.32,48.019573,66.923684
Kazakhstan,Eggs,8.29,7.62,48.019573,66.923684
Kazakhstan,Milk - inc. cheese,288.12,410.4,48.019573,66.923684
Kazakhstan,Wheat and Wheat Products,92.31,17.6,48.019573,66.923684
Kazakhstan,Rice,7.32,9.37,48.019573,66.923684
Kazakhstan,Soybeans,0.03,0.01,48.019573,66.923684
Kazakhstan,Nuts inc. Peanut Butter,5.14,9.1,48.019573,66.923684
Sweden,Pork,37,130.96,60.128161,18.643501
Sweden,Poultry,16.64,17.87,60.128161,18.643501
Sweden,Beef,24.58,758.49,60.128161,18.643501
Sweden,Lamb & Goat,1.41,49.38,60.128161,18.643501
Sweden,Fish,23.86,38.1,60.128161,18.643501
Sweden,Eggs,13.37,12.28,60.128161,18.643501
Sweden,Milk - inc. cheese,341.23,486.05,60.128161,18.643501
Sweden,Wheat and Wheat Products,79.59,15.18,60.128161,18.643501
Sweden,Rice,5.96,7.63,60.128161,18.643501
Sweden,Soybeans,0.13,0.06,60.128161,18.643501
Sweden,Nuts inc. Peanut Butter,6.23,11.03,60.128161,18.643501
Bermuda,Pork,28.24,99.96,32.321384,-64.75737
Bermuda,Poultry,32.62,35.04,32.321384,-64.75737
Bermuda,Beef,33.15,1022.94,32.321384,-64.75737
Bermuda,Lamb & Goat,2.71,94.9,32.321384,-64.75737
Bermuda,Fish,33.22,53.04,32.321384,-64.75737
Bermuda,Eggs,14.92,13.71,32.321384,-64.75737
Bermuda,Milk - inc. cheese,95.56,136.12,32.321384,-64.75737
Bermuda,Wheat and Wheat Products,54.88,10.47,32.321384,-64.75737
Bermuda,Rice,5.38,6.88,32.321384,-64.75737
Bermuda,Soybeans,0.22,0.1,32.321384,-64.75737
Bermuda,Nuts inc. Peanut Butter,5.72,10.12,32.321384,-64.75737
Denmark,Pork,24.87,88.03,56.26392,9.501785
Denmark,Poultry,26.75,28.73,56.26392,9.501785
Denmark,Beef,28.46,878.22,56.26392,9.501785
Denmark,Lamb & Goat,0.92,32.22,56.26392,9.501785
Denmark,Fish,16.49,26.33,56.26392,9.501785
Denmark,Eggs,15.35,14.1,56.26392,9.501785
Denmark,Milk - inc. cheese,277.3,394.99,56.26392,9.501785
Denmark,Wheat and Wheat Products,98,18.69,56.26392,9.501785
Denmark,Rice,4.96,6.35,56.26392,9.501785
Denmark,Soybeans,0.03,0.01,56.26392,9.501785
Denmark,Nuts inc. Peanut Butter,5.94,10.51,56.26392,9.501785
Finland,Pork,36.14,127.92,61.92411,25.748151
Finland,Poultry,19.87,21.34,61.92411,25.748151
Finland,Beef,19.22,593.09,61.92411,25.748151
Finland,Lamb & Goat,0.53,18.56,61.92411,25.748151
Finland,Fish,33.8,53.97,61.92411,25.748151
Finland,Eggs,9.55,8.77,61.92411,25.748151
Finland,Milk - inc. cheese,430.76,613.57,61.92411,25.748151
Finland,Wheat and Wheat Products,81.99,15.64,61.92411,25.748151
Finland,Rice,4.42,5.66,61.92411,25.748151
Finland,Soybeans,0.08,0.04,61.92411,25.748151
Finland,Nuts inc. Peanut Butter,3.43,6.07,61.92411,25.748151
Ireland,Pork,32.4,114.68,53.41291,-8.24389
Ireland,Poultry,26.26,28.21,53.41291,-8.24389
Ireland,Beef,22.35,689.67,53.41291,-8.24389
Ireland,Lamb & Goat,4.1,143.58,53.41291,-8.24389
Ireland,Fish,17.39,27.77,53.41291,-8.24389
Ireland,Eggs,8.96,8.23,53.41291,-8.24389
Ireland,Milk - inc. cheese,291.86,415.73,53.41291,-8.24389
Ireland,Wheat and Wheat Products,107.98,20.59,53.41291,-8.24389
Ireland,Rice,3,3.84,53.41291,-8.24389
Ireland,Soybeans,0.25,0.11,53.41291,-8.24389
Ireland,Nuts inc. Peanut Butter,4.1,7.26,53.41291,-8.24389
Greece,Pork,28.31,100.2,39.074208,21.824312
Greece,Poultry,15.74,16.91,39.074208,21.824312
Greece,Beef,16.1,496.81,39.074208,21.824312
Greece,Lamb & Goat,12.47,436.7,39.074208,21.824312
Greece,Fish,14.42,23.02,39.074208,21.824312
Greece,Eggs,10.13,9.31,39.074208,21.824312
Greece,Milk - inc. cheese,255.26,363.59,39.074208,21.824312
Greece,Wheat and Wheat Products,124.04,23.65,39.074208,21.824312
Greece,Rice,6.64,8.5,39.074208,21.824312
Greece,Soybeans,0.02,0.01,39.074208,21.824312
Greece,Nuts inc. Peanut Butter,10.5,18.59,39.074208,21.824312
France,Pork,33.05,116.98,46.227638,2.213749
France,Poultry,22.93,24.63,46.227638,2.213749
France,Beef,23.81,734.73,46.227638,2.213749
France,Lamb & Goat,3.28,114.87,46.227638,2.213749
France,Fish,22.91,36.58,46.227638,2.213749
France,Eggs,13.13,12.06,46.227638,2.213749
France,Milk - inc. cheese,241.31,343.72,46.227638,2.213749
France,Wheat and Wheat Products,108.43,20.68,46.227638,2.213749
France,Rice,4.88,6.24,46.227638,2.213749
France,Soybeans,0.05,0.02,46.227638,2.213749
France,Nuts inc. Peanut Butter,5.39,9.54,46.227638,2.213749
Canada,Pork,22.81,80.74,56.130366,-106.346771
Canada,Poultry,36.68,39.4,56.130366,-106.346771
Canada,Beef,30.25,933.45,56.130366,-106.346771
Canada,Lamb & Goat,0.97,33.97,56.130366,-106.346771
Canada,Fish,14.56,23.25,56.130366,-106.346771
Canada,Eggs,12.95,11.9,56.130366,-106.346771
Canada,Milk - inc. cheese,187.77,267.46,56.130366,-106.346771
Canada,Wheat and Wheat Products,84.96,16.2,56.130366,-106.346771
Canada,Rice,12.65,16.19,56.130366,-106.346771
Canada,Soybeans,0.94,0.42,56.130366,-106.346771
Canada,Nuts inc. Peanut Butter,8.01,14.18,56.130366,-106.346771
Norway,Pork,23.51,83.21,60.472024,8.468946
Norway,Poultry,21.01,22.57,60.472024,8.468946
Norway,Beef,19.83,611.91,60.472024,8.468946
Norway,Lamb & Goat,5.34,187.01,60.472024,8.468946
Norway,Fish,38.18,60.96,60.472024,8.468946
Norway,Eggs,11.41,10.48,60.472024,8.468946
Norway,Milk - inc. cheese,261.34,372.25,60.472024,8.468946
Norway,Wheat and Wheat Products,97.12,18.52,60.472024,8.468946
Norway,Rice,4.36,5.58,60.472024,8.468946
Norway,Soybeans,0.11,0.05,60.472024,8.468946
Norway,Nuts inc. Peanut Butter,5.28,9.35,60.472024,8.468946
French Polynesia,Pork,14.75,52.21,-17.679742,-149.406843
French Polynesia,Poultry,49.55,53.23,-17.679742,-149.406843
French Polynesia,Beef,30.9,953.51,-17.679742,-149.406843
French Polynesia,Lamb & Goat,2.83,99.11,-17.679742,-149.406843
French Polynesia,Fish,38.95,62.19,-17.679742,-149.406843
French Polynesia,Eggs,8.75,8.04,-17.679742,-149.406843
French Polynesia,Milk - inc. cheese,93.56,133.27,-17.679742,-149.406843
French Polynesia,Wheat and Wheat Products,68.67,13.1,-17.679742,-149.406843
French Polynesia,Rice,35.59,45.54,-17.679742,-149.406843
French Polynesia,Soybeans,0.77,0.35,-17.679742,-149.406843
French Polynesia,Nuts inc. Peanut Butter,2.34,4.14,-17.679742,-149.406843
Israel,Pork,1.99,7.04,31.046051,34.851612
Israel,Poultry,62.5,67.14,31.046051,34.851612
Israel,Beef,28.78,888.09,31.046051,34.851612
Israel,Lamb & Goat,1.87,65.49,31.046051,34.851612
Israel,Fish,22.18,35.41,31.046051,34.851612
Israel,Eggs,11.35,10.43,31.046051,34.851612
Israel,Milk - inc. cheese,193.6,275.76,31.046051,34.851612
Israel,Wheat and Wheat Products,110.86,21.14,31.046051,34.851612
Israel,Rice,16.81,21.51,31.046051,34.851612
Israel,Soybeans,0.1,0.05,31.046051,34.851612
Israel,Nuts inc. Peanut Butter,7.71,13.65,31.046051,34.851612
Switzerland,Pork,31.49,111.46,46.818188,8.227512
Switzerland,Poultry,16.38,17.6,46.818188,8.227512
Switzerland,Beef,21.26,656.04,46.818188,8.227512
Switzerland,Lamb & Goat,1.42,49.73,46.818188,8.227512
Switzerland,Fish,13.48,21.52,46.818188,8.227512
Switzerland,Eggs,10.53,9.67,46.818188,8.227512
Switzerland,Milk - inc. cheese,318.69,453.94,46.818188,8.227512
Switzerland,Wheat and Wheat Products,89.51,17.07,46.818188,8.227512
Switzerland,Rice,2.43,3.11,46.818188,8.227512
Switzerland,Soybeans,0.44,0.2,46.818188,8.227512
Switzerland,Nuts inc. Peanut Butter,9.27,16.41,46.818188,8.227512
Netherlands,Pork,36.36,128.7,52.132633,5.291266
Netherlands,Poultry,23.9,25.67,52.132633,5.291266
Netherlands,Beef,17.67,545.26,52.132633,5.291266
Netherlands,Lamb & Goat,0.94,32.92,52.132633,5.291266
Netherlands,Fish,18.64,29.76,52.132633,5.291266
Netherlands,Eggs,14.03,12.89,52.132633,5.291266
Netherlands,Milk - inc. cheese,341.47,486.39,52.132633,5.291266
Netherlands,Wheat and Wheat Products,70.17,13.38,52.132633,5.291266
Netherlands,Rice,2.93,3.75,52.132633,5.291266
Netherlands,Soybeans,0.12,0.05,52.132633,5.291266
Netherlands,Nuts inc. Peanut Butter,7.94,14.05,52.132633,5.291266
Kuwait,Pork,0,0,29.31166,47.481766
Kuwait,Poultry,53.61,57.59,29.31166,47.481766
